candidate_id,x_m,y_m,screen_depth_m,install_cost_usd,annual_sampling_cost_usd,zone
C001,2997.42,-46.23,32.93,5284.44,1110.47,core
C002,4170.0,181.5,25.51,5969.98,1826.52,front
C003,4171.85,-411.93,28.76,8891.82,923.91,front
C004,801.97,95.17,23.88,13281.92,1087.3,source
C005,2899.85,274.39,18.77,13694.48,1348.9,core
C006,4115.04,-182.15,31.56,8082.24,839.04,front
C007,2897.92,105.06,17.78,9313.86,1207.58,core
C008,1424.76,416.34,23.33,13189.28,1450.52,core
C009,3039.53,361.42,23.64,5877.94,1144.58,core
C010,2809.96,297.56,18.69,10569.86,752.4,core
C011,4200.92,198.78,36.75,5259.08,1600.33,front
C012,1835.05,-112.7,28.85,6290.63,1420.73,core
C013,791.03,-197.42,19.56,6702.53,1507.49,source
C014,1782.63,-226.09,21.79,9322.93,1267.49,core
C015,4275.63,-52.17,38.63,6523.36,810.24,front
C016,4886.45,96.39,24.32,9291.76,1322.13,front
C017,3105.62,268.05,24.99,11346.22,1375.81,core
C018,2313.5,156.33,20.95,11549.74,1242.14,core
C019,1763.13,461.83,19.9,12163.77,1082.96,core
C020,2304.09,63.03,23.26,10431.98,923.31,core
C021,3317.04,-21.08,24.08,5419.87,1358.19,front
C022,1624.64,157.32,19.62,7336.14,1813.93,core
C023,3228.26,76.42,24.45,7715.02,1006.37,front
C024,1243.19,-255.51,17.02,6601.54,1798.04,source
C025,1609.54,210.0,22.67,9841.42,845.69,core
C026,1411.37,-267.63,17.64,11529.64,996.03,core
C027,4093.91,335.16,31.35,11509.67,913.04,front
C028,2484.8,448.74,16.64,6766.48,977.84,core
C029,3908.79,6.4,32.31,13890.74,1056.36,front
C030,5097.45,-63.84,38.34,12057.09,1690.09,front
C031,1342.85,-3.91,22.93,13294.14,1672.03,source
C032,4748.61,-448.58,29.97,7146.89,1800.82,front
C033,821.15,71.77,13.92,6309.51,1331.74,source
C034,3166.63,-198.31,30.45,10663.12,1764.24,core
C035,4845.21,-273.01,36.85,13076.13,896.53,front
C036,1350.89,-219.4,14.16,10157.33,805.21,source
C037,564.06,-2.96,14.64,10849.62,1786.33,source
C038,1396.62,-118.56,18.69,7967.42,1230.85,source
C039,2537.52,155.98,33.46,13301.69,1008.85,core
C040,2687.04,-67.92,23.18,12916.6,1347.95,core
