well_id,year,analyte,value,unit,remark
W001,1978,nitrate_n_mg_l,0.42637,mg/L as N,measured
W001,1978,ammonium_n_mg_l,0.18631,mg/L as N,measured
W001,1978,chloride_mg_l,11.1829,mg/L,less_than_detection
W001,1978,specific_conductance_us_cm,173.71869,uS/cm,measured
W001,1980,nitrate_n_mg_l,0.74808,mg/L as N,measured
W001,1980,ammonium_n_mg_l,0.24721,mg/L as N,measured
W001,1980,specific_conductance_us_cm,82.93591,uS/cm,less_than_detection
W001,1982,nitrate_n_mg_l,1.31641,mg/L as N,measured
W001,1982,ammonium_n_mg_l,0.29906,mg/L as N,measured
W001,1982,chloride_mg_l,27.9188,mg/L,measured
W001,1982,specific_conductance_us_cm,204.58602,uS/cm,measured
W001,1984,nitrate_n_mg_l,2.38885,mg/L as N,measured
W001,1984,ammonium_n_mg_l,0.54847,mg/L as N,measured
W001,1984,chloride_mg_l,19.68806,mg/L,measured
W001,1984,specific_conductance_us_cm,152.73499,uS/cm,measured
W001,1986,nitrate_n_mg_l,0.15013,mg/L as N,measured
W001,1986,ammonium_n_mg_l,0.90777,mg/L as N,measured
W001,1986,chloride_mg_l,9.77213,mg/L,less_than_detection
W001,1986,specific_conductance_us_cm,155.78827,uS/cm,measured
W001,1988,ammonium_n_mg_l,0.08035,mg/L as N,measured
W001,1988,chloride_mg_l,16.58014,mg/L,measured
W001,1988,specific_conductance_us_cm,134.4841,uS/cm,measured
W001,1990,nitrate_n_mg_l,0.10255,mg/L as N,measured
W001,1990,ammonium_n_mg_l,0.09555,mg/L as N,measured
W001,1990,chloride_mg_l,18.58786,mg/L,measured
W001,1990,specific_conductance_us_cm,70.47684,uS/cm,less_than_detection
W001,1992,nitrate_n_mg_l,0.12727,mg/L as N,measured
W001,1992,ammonium_n_mg_l,0.0444,mg/L as N,measured
W001,1992,chloride_mg_l,18.56425,mg/L,measured
W001,1992,specific_conductance_us_cm,141.24058,uS/cm,measured
W001,1994,nitrate_n_mg_l,0.06877,mg/L as N,measured
W001,1994,ammonium_n_mg_l,0.02788,mg/L as N,measured
W001,1994,chloride_mg_l,10.106,mg/L,less_than_detection
W001,1994,specific_conductance_us_cm,135.7133,uS/cm,measured
W001,1996,nitrate_n_mg_l,0.05252,mg/L as N,measured
W001,1996,ammonium_n_mg_l,0.03599,mg/L as N,measured
W001,1996,chloride_mg_l,17.43306,mg/L,measured
W001,1996,specific_conductance_us_cm,126.78297,uS/cm,measured
W001,1998,nitrate_n_mg_l,0.04992,mg/L as N,measured
W001,1998,ammonium_n_mg_l,0.0,mg/L as N,less_than_detection
W001,1998,specific_conductance_us_cm,140.55192,uS/cm,measured
W001,2000,nitrate_n_mg_l,0.12975,mg/L as N,measured
W001,2000,ammonium_n_mg_l,0.00453,mg/L as N,less_than_detection
W001,2000,chloride_mg_l,20.16105,mg/L,measured
W001,2000,specific_conductance_us_cm,131.60294,uS/cm,measured
W001,2002,nitrate_n_mg_l,0.07526,mg/L as N,measured
W001,2002,ammonium_n_mg_l,0.08276,mg/L as N,measured
W001,2002,chloride_mg_l,17.98976,mg/L,measured
W001,2002,specific_conductance_us_cm,134.26294,uS/cm,measured
