well_id,x_m,y_m,screen_depth_m,aquifer_zone
W001,873.51,-693.56,14.09,margin
W002,3988.59,-56.0,29.03,core
W003,3651.15,21.65,24.04,core
W005,1326.66,-246.27,16.22,margin
W006,2070.97,-12.88,18.91,core
W007,752.11,-443.42,14.03,margin
W008,1268.02,-405.07,8.95,margin
W009,1784.22,307.47,20.95,margin
W010,1052.8,412.17,19.02,margin
W014,2510.09,-12.49,20.37,core
W015,2105.98,387.72,16.71,margin
W016,1341.25,181.29,15.68,core
W017,348.24,-14.48,9.47,core
W018,3012.93,-127.33,28.88,core
W019,5398.22,-15.68,37.03,core
W020,730.88,-380.11,15.71,margin
W021,2338.54,8.73,21.76,core
W022,3225.04,-297.98,28.21,margin
W023,4846.09,-112.01,35.13,core
W024,5076.38,190.65,29.06,margin
W025,2672.32,115.68,26.48,core
W027,4647.26,-93.74,36.37,core
W030,3333.79,-69.86,28.42,core
W032,325.03,45.47,8.17,core
W033,4683.41,-295.21,25.81,margin
W034,1937.76,-108.91,19.76,core
W035,3276.97,218.82,24.21,margin
W037,3143.65,379.25,18.18,margin
W040,1288.64,-71.31,14.16,core
W041,4026.18,217.63,21.71,margin
W043,423.16,402.31,8.15,margin
W045,4353.02,-72.22,28.36,core
W047,1424.53,17.37,11.12,core
W048,3360.62,229.48,26.44,margin
W050,656.26,-845.23,18.72,margin
W052,3187.31,-172.39,28.02,core
W053,4417.2,-245.61,29.03,margin
W056,1546.63,126.46,23.26,core
W058,4441.71,226.05,24.72,margin
W060,405.94,31.19,21.84,core
W061,4954.27,191.64,24.2,margin
W062,4416.13,139.09,27.98,margin
W063,1676.62,-345.14,21.73,margin
W064,4390.84,494.92,30.27,margin
W065,3988.95,58.21,28.79,core
W066,4395.63,63.87,30.54,core
W068,1120.03,-302.56,19.92,margin
W069,1126.1,1.03,17.87,core
W070,4148.48,-233.05,26.74,margin
W071,2693.51,191.76,27.56,core
W072,3900.12,183.9,22.11,margin
W073,3438.99,373.49,33.39,margin
W076,1481.64,328.78,12.77,margin
W077,5270.35,41.8,34.15,core
W078,4527.85,350.53,31.58,margin
W079,1767.21,339.32,22.94,margin
W080,4153.48,-125.6,27.12,core
W081,1031.33,-552.92,12.84,margin
W082,4470.09,-478.91,33.49,margin
W084,4778.47,-253.46,31.73,margin
